name,url,rookie_year,rookie_age,years_played
Mychel Thompson,https://www.basketball-reference.com/players/t/thompmy02.html,2012,23,1
Tristan Thompson,https://www.basketball-reference.com/players/t/thomptr01.html,2012,20,13
Jeremy Tyler,https://www.basketball-reference.com/players/t/tylerje01.html,2012,20,3
Edwin Ubiles,https://www.basketball-reference.com/players/u/ubileed01.html,2012,25,1
Jan Veselý,https://www.basketball-reference.com/players/v/veselja01.html,2012,21,3
Nikola Vučević,https://www.basketball-reference.com/players/v/vucevni01.html,2012,21,14
Kemba Walker,https://www.basketball-reference.com/players/w/walkeke02.html,2012,21,12
Derrick Williams,https://www.basketball-reference.com/players/w/willide02.html,2012,20,7
Elliot Williams,https://www.basketball-reference.com/players/w/williel01.html,2012,22,4
Jordan Williams,https://www.basketball-reference.com/players/w/willijo03.html,2012,21,1
Chris Wright,https://www.basketball-reference.com/players/w/wrighch01.html,2012,23,2
Quincy Acy,https://www.basketball-reference.com/players/a/acyqu01.html,2013,22,7
Josh Akognon,https://www.basketball-reference.com/players/a/akognjo01.html,2013,26,1
Harrison Barnes,https://www.basketball-reference.com/players/b/barneha02.html,2013,20,13
Will Barton,https://www.basketball-reference.com/players/b/bartowi01.html,2013,22,11
Aron Baynes,https://www.basketball-reference.com/players/b/baynear01.html,2013,26,9
Kent Bazemore,https://www.basketball-reference.com/players/b/bazemke01.html,2013,23,10
Bradley Beal,https://www.basketball-reference.com/players/b/bealbr01.html,2013,19,13
Patrick Beverley,https://www.basketball-reference.com/players/b/beverpa01.html,2013,24,12
Victor Claver,https://www.basketball-reference.com/players/c/clavevi01.html,2013,24,3
Chris Copeland,https://www.basketball-reference.com/players/c/copelch01.html,2013,28,4
Jae Crowder,https://www.basketball-reference.com/players/c/crowdja01.html,2013,22,13
Jared Cunningham,https://www.basketball-reference.com/players/c/cunnija01.html,2013,21,4
Anthony Davis,https://www.basketball-reference.com/players/d/davisan02.html,2013,19,13
Nando De Colo,https://www.basketball-reference.com/players/d/decolna01.html,2013,25,2
Andre Drummond,https://www.basketball-reference.com/players/d/drumman01.html,2013,19,13
Kim English,https://www.basketball-reference.com/players/e/engliki01.html,2013,24,1
Festus Ezeli,https://www.basketball-reference.com/players/e/ezelife01.html,2013,23,3
Evan Fournier,https://www.basketball-reference.com/players/f/fournev01.html,2013,20,12
Joel Freeland,https://www.basketball-reference.com/players/f/freeljo01.html,2013,25,3
Diante Garrett,https://www.basketball-reference.com/players/g/garredi02.html,2013,24,2
Draymond Green,https://www.basketball-reference.com/players/g/greendr01.html,2013,22,13
Ben Hansbrough,https://www.basketball-reference.com/players/h/hansbbe01.html,2013,25,1
Maurice Harkless,https://www.basketball-reference.com/players/h/harklma01.html,2013,19,10
John Henson,https://www.basketball-reference.com/players/h/hensojo01.html,2013,22,8
Justin Holiday,https://www.basketball-reference.com/players/h/holidju01.html,2013,23,11
Bernard James,https://www.basketball-reference.com/players/j/jamesbe01.html,2013,27,3
John Jenkins,https://www.basketball-reference.com/players/j/jenkijo01.html,2013,21,6
Chris Johnson,https://www.basketball-reference.com/players/j/johnsch04.html,2013,22,4
Orlando Johnson,https://www.basketball-reference.com/players/j/johnsor01.html,2013,23,3
Darius Johnson-Odom,https://www.basketball-reference.com/players/j/johnsda03.html,2013,23,2
DeQuan Jones,https://www.basketball-reference.com/players/j/jonesde01.html,2013,22,1
Kevin Jones,https://www.basketball-reference.com/players/j/joneske01.html,2013,23,1
Perry Jones,https://www.basketball-reference.com/players/j/jonespe01.html,2013,21,3
Terrence Jones,https://www.basketball-reference.com/players/j/joneste01.html,2013,21,6
Kris Joseph,https://www.basketball-reference.com/players/j/josepkr01.html,2013,24,1
Michael Kidd-Gilchrist,https://www.basketball-reference.com/players/k/kiddgmi01.html,2013,19,8
Viacheslav Kravtsov,https://www.basketball-reference.com/players/k/kravtvi01.html,2013,25,2
Doron Lamb,https://www.basketball-reference.com/players/l/lambdo01.html,2013,21,2
Jeremy Lamb,https://www.basketball-reference.com/players/l/lambje01.html,2013,20,10
Meyers Leonard,https://www.basketball-reference.com/players/l/leoname01.html,2013,20,10
Damian Lillard,https://www.basketball-reference.com/players/l/lillada01.html,2013,22,13
Scott Machado,https://www.basketball-reference.com/players/m/machasc01.html,2013,22,2
Kendall Marshall,https://www.basketball-reference.com/players/m/marshke01.html,2013,21,4
Fab Melo,https://www.basketball-reference.com/players/m/melofa01.html,2013,22,1
Khris Middleton,https://www.basketball-reference.com/players/m/middlkh01.html,2013,21,13
Darius Miller,https://www.basketball-reference.com/players/m/milleda01.html,2013,22,6
Quincy Miller,https://www.basketball-reference.com/players/m/millequ01.html,2013,20,3
Donatas Motiejūnas,https://www.basketball-reference.com/players/m/motiedo01.html,2013,22,6
Arnett Moultrie,https://www.basketball-reference.com/players/m/moultar01.html,2013,22,2
Kevin Murphy,https://www.basketball-reference.com/players/m/murphke01.html,2013,22,1
Andrew Nicholson,https://www.basketball-reference.com/players/n/nichoan01.html,2013,23,5
Kyle O'Quinn,https://www.basketball-reference.com/players/o/oquinky01.html,2013,22,8
Tim Ohlbrecht,https://www.basketball-reference.com/players/o/ohlbrti01.html,2013,24,1
Miles Plumlee,https://www.basketball-reference.com/players/p/plumlmi01.html,2013,24,7
Pablo Prigioni,https://www.basketball-reference.com/players/p/prigipa01.html,2013,35,4
Austin Rivers,https://www.basketball-reference.com/players/r/riverau01.html,2013,20,11
Brian Roberts,https://www.basketball-reference.com/players/r/roberbr01.html,2013,27,5
Thomas Robinson,https://www.basketball-reference.com/players/r/robinth01.html,2013,21,5
Terrence Ross,https://www.basketball-reference.com/players/r/rosste01.html,2013,21,11
Robert Sacre,https://www.basketball-reference.com/players/s/sacrero01.html,2013,23,4
Mike Scott,https://www.basketball-reference.com/players/s/scottmi01.html,2013,24,9
Tornike Shengelia,https://www.basketball-reference.com/players/s/shengto01.html,2013,21,2
Alexey Shved,https://www.basketball-reference.com/players/s/shvedal01.html,2013,24,3
Henry Sims,https://www.basketball-reference.com/players/s/simshe01.html,2013,22,4
Kyle Singler,https://www.basketball-reference.com/players/s/singlky01.html,2013,24,6
Jared Sullinger,https://www.basketball-reference.com/players/s/sullija01.html,2013,20,5
Jeff Taylor,https://www.basketball-reference.com/players/t/tayloje03.html,2013,23,3
Tyshawn Taylor,https://www.basketball-reference.com/players/t/tayloty01.html,2013,22,2
Marquis Teague,https://www.basketball-reference.com/players/t/teaguma01.html,2013,19,3
Mirza Teletović,https://www.basketball-reference.com/players/t/teletmi01.html,2013,27,6
Jonas Valančiūnas,https://www.basketball-reference.com/players/v/valanjo01.html,2013,20,13
Jarvis Varnado,https://www.basketball-reference.com/players/v/varnaja01.html,2013,24,2
Dion Waiters,https://www.basketball-reference.com/players/w/waitedi01.html,2013,21,8
Maalik Wayns,https://www.basketball-reference.com/players/w/waynsma01.html,2013,21,2
Chris Wright,https://www.basketball-reference.com/players/w/wrighch02.html,2013,23,1
Tony Wroten,https://www.basketball-reference.com/players/w/wroteto01.html,2013,19,4
Luke Zeller,https://www.basketball-reference.com/players/z/zellelu01.html,2013,25,1
Tyler Zeller,https://www.basketball-reference.com/players/z/zellety01.html,2013,23,8
